-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         0.80%     224.961ms         1.30%     366.698ms      71.066us        5.241s        36.34%        5.241s       1.016ms           0 b           0 b      96.80 Gb      96.80 Gb          5160  
                                  volta_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us        1.745s        12.10%        1.745s       1.026ms           0 b           0 b           0 b           0 b          1700  
                                  volta_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us        1.468s        10.18%        1.468s     965.539us           0 b           0 b           0 b           0 b          1520  
                                  volta_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us        1.466s        10.16%        1.466s       1.004ms           0 b           0 b           0 b           0 b          1460  
                                              aten::bmm         0.27%      76.206ms         0.54%     153.191ms      69.005us        1.462s        10.13%        1.462s     658.412us           0 b           0 b     115.64 Gb           0 b          2220  
                                              aten::mul         3.41%     962.524ms         5.80%        1.637s      48.900us        1.329s         9.21%        1.329s      39.704us           0 b           0 b     301.17 Gb     301.17 Gb         33472  
                                  volta_sgemm_128x32_nn         0.00%       0.000us         0.00%       0.000us       0.000us     875.826ms         6.07%     875.826ms       1.095ms           0 b           0 b           0 b           0 b           800  
                aten::cudnn_convolution_backward_weight         0.17%      47.404ms         0.38%     107.437ms     198.957us     873.087ms         6.05%     873.087ms       1.617ms           0 b           0 b     763.32 Mb      -1.17 Mb           540  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     862.160ms         5.98%     862.160ms      55.409us           0 b           0 b           0 b           0 b         15560  
                                            aten::copy_         0.56%     157.456ms         6.30%        1.777s     174.231us     712.349ms         4.94%     712.522ms      69.855us           0 b      -1.10 Mb           0 b           0 b         10200  
